# Outlier report
# name  lon  lat  residual  reason
D044           109.13500   41.02100       1.462  KNN
D050           107.94800   40.78700       4.564  KNN
H363           102.22800   29.44900       0.000  KNN
D062           107.18600   36.77100       0.297  KNN
H369           102.41600   27.62900       9.227  IQR(res=9.23)
H371           102.46300   24.93900      19.699  KNN+IQR(res=19.70)
H370           102.45800   23.36600      19.573  IQR(res=19.57)
H373           102.55900   27.88300      23.057  IQR(res=23.06)
H374           102.56900   24.67700      13.890  IQR(res=13.89)
H375           102.61500   28.62600      13.660  IQR(res=13.66)
H376           102.71000   27.94900      19.695  IQR(res=19.70)
H378           102.65500   28.46000      15.790  IQR(res=15.79)
H379           102.81400   24.97600      17.424  IQR(res=17.42)
H380           102.82900   24.46800      22.629  IQR(res=22.63)
H381           102.82900   23.91600      12.587  IQR(res=12.59)
D078           109.92300   33.88000       1.780  KNN
H382           102.86000   23.56900      10.462  IQR(res=10.46)
H383           102.92500   24.94100      16.507  IQR(res=16.51)
H384           102.87500   30.46600      13.436  IQR(res=13.44)
H385           102.98000   24.15200      13.695  IQR(res=13.69)
H386           103.01600   28.12100      13.051  IQR(res=13.05)
H387           103.03600   26.64200      15.142  IQR(res=15.14)
D085           105.76000   39.74800       5.828  KNN
H388           103.03600   25.35300      14.104  IQR(res=14.10)
D087           106.35100   39.19600       1.262  KNN
H389           103.03500   24.93600      10.057  IQR(res=10.06)
H390           103.14300   24.89600      13.934  IQR(res=13.93)
H391           103.21500   30.14600       9.475  IQR(res=9.48)
H393           103.28700   24.87000      12.150  IQR(res=12.15)
D092           105.66900   38.80900       0.673  KNN
H394           103.43500   28.09600      10.855  IQR(res=10.86)
D094           106.20700   38.48300       2.708  KNN
H396           103.37000   26.87500      12.272  IQR(res=12.27)
H397           103.38900   24.55700      11.280  IQR(res=11.28)
H398           103.44400   25.88900      10.733  IQR(res=10.73)
H399           103.49300   24.87600       9.220  IQR(res=9.22)
H401           103.97000   28.15500       8.812  IQR(res=8.81)
HB02           100.72700   31.86900      13.164  IQR(res=13.16)
D306           111.57000   40.75200       1.337  KNN
HB15           100.68200   21.59400       0.000  KNN
HB20            97.86100   24.02000       0.000  KNN
I002            92.99700   43.60200      12.382  IQR(res=12.38)
I006            90.25100   42.89600       4.476  KNN
I011            89.51100   46.99400       8.812  IQR(res=8.81)
I018            85.69300   46.10200       4.062  KNN
I019            89.00500   44.92200       1.716  KNN
I022            86.86700   44.18300       7.366  KNN
D344           111.63000   36.09700       7.012  KNN
I028            86.36300   42.35000      12.715  IQR(res=12.72)
D346           111.84200   34.82600       1.699  KNN
I030            85.51800   41.90800      13.353  IQR(res=13.35)
D348           111.70100   36.06300       1.010  KNN
I033            88.25100   40.26800       9.852  IQR(res=9.85)
D350           112.10000   37.34900       1.984  KNN
D351           112.21900   37.00700      71.581  KNN+IQR(res=71.58)
I037            82.87600   46.82400       3.955  KNN
I038            83.59500   45.93700       8.893  IQR(res=8.89)
I039            84.85200   45.63000       8.714  IQR(res=8.71)
I046            82.51200   43.78900       2.961  KNN
D363           112.88500   39.64400      10.671  KNN+IQR(res=10.67)
I050            82.22500   43.47200      11.937  IQR(res=11.94)
I054            83.12900   42.13600      12.927  IQR(res=12.93)
I056            84.24500   41.78000       3.966  KNN
I058            82.34600   41.48500       0.000  KNN
I059            81.34500   41.60100      10.862  KNN+IQR(res=10.86)
I062            80.39200   40.64300      15.228  IQR(res=15.23)
I063            84.33700   40.21700      10.902  IQR(res=10.90)
D377           108.97300   35.66500       3.014  KNN
I066            83.81100   37.59400      20.039  IQR(res=20.04)
I070            81.47800   36.45500      12.266  IQR(res=12.27)
D385           107.68300   34.25900       2.404  KNN
I075            78.03700   39.71400       4.517  KNN
I076            78.54000   39.77600       2.989  KNN
I077            76.51200   39.80600       8.482  KNN
I081            75.89900   39.19500      11.470  IQR(res=11.47)
I082            77.62700   38.90500      13.697  IQR(res=13.70)
I084            77.27700   38.17400      14.028  IQR(res=14.03)
I086            78.24600   37.55900      16.719  IQR(res=16.72)
I087            79.96400   37.09800       4.374  KNN
I088            75.44700   36.85100      13.610  KNN+IQR(res=13.61)
I089            74.33600   39.84200      10.564  IQR(res=10.56)
E012           127.35900   43.74700       3.786  KNN
E014           125.14400   42.84800       2.173  KNN
I090            74.95100   38.66200      17.419  IQR(res=17.42)
E017           125.95600   41.73900       3.268  KNN
I307            87.52100   47.74300       8.777  IQR(res=8.78)
E025           120.87500   44.56300       5.729  KNN
E026           122.23800   43.62800      35.967  KNN+IQR(res=35.97)
I311            87.88700   47.40900      11.256  IQR(res=11.26)
E044           122.45900   40.63400       8.628  KNN
E046           123.60100   40.72900       4.759  KNN
E051           121.51400   39.44700       2.794  KNN
I338            84.88100   44.58600       8.203  KNN
E059           116.94700   45.51200       2.376  KNN
E062           119.02000   42.28800       1.810  KNN
E064           111.97200   43.65600       1.958  KNN
E301           122.38900   40.77100       8.783  KNN+IQR(res=8.78)
I343            80.43900   44.17000       8.740  IQR(res=8.74)
I346            82.78300   44.26000       8.956  IQR(res=8.96)
I347            94.10800   43.98600       7.459  KNN
I350            86.48100   43.90100       9.272  IQR(res=9.27)
I351            89.05000   43.85800       7.977  KNN
E309           122.57500   42.38000       2.589  KNN
I353            83.51600   43.76700      26.053  KNN+IQR(res=26.05)
I355            86.96600   43.51200      10.199  IQR(res=10.20)
I357            89.86100   43.60300      11.577  KNN+IQR(res=11.58)
I358            87.95700   43.51500      15.234  IQR(res=15.23)
I359            87.40900   43.50600      16.071  IQR(res=16.07)
