# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
   71    95.56767   40.63467        -3.771        -5.023        -4.472         0.913        -9.156    133.01        -8.243         5.035         9.202       1.128       0.594       0.502       0.729       0.913       1.219       0.557
   72    98.25267   40.00600         0.298        -4.980        -3.976         3.580        -7.259    123.39        -3.679         5.419         8.093       2.499       2.862       5.223       2.170       5.263       5.689       2.849
   75    99.98167   36.65733        -4.115       -11.062        -6.901         5.642       -16.657    131.41       -11.015        11.150        17.587       2.258       0.853       0.621       1.520       1.382       2.339       0.862
   76    95.69733   36.55767         9.086       -14.243       -11.877        16.289       -19.080    116.83        -2.792        17.684        25.087       1.242       1.161       2.451       1.166       2.757       2.872       1.555
   77    94.29933   37.85733        -2.719        -9.353        -9.339         3.892       -15.951    125.26       -12.059         9.921        16.419       2.078       0.790       0.492       1.775       0.811       2.130       0.877
   78    94.29400   38.88400        -7.738        -9.268        -3.945         3.619       -15.302    140.78       -11.683         9.460        15.724       0.912       0.965       1.261       1.373       1.083       1.600       0.943
   79    94.21633   37.03867        -3.052       -16.875       -12.696         9.677       -25.424    127.03       -15.747        17.551        27.204       2.765       1.301       0.781       1.090       2.519       2.884       1.299
   80    94.67800   36.07700         6.551       -49.492       -14.264        46.718       -54.431    129.06        -7.714        50.574        71.731       6.421       3.315       2.106       7.322       1.804       7.090       3.983
   81    90.69733   35.35100        29.649       -16.303        -8.199        35.702       -14.253    110.37        21.450        24.978        38.442       1.141       0.831       0.671       1.232       0.549       1.260       0.716
   82    91.01967   33.64767        18.556        -8.010       -10.305        20.629       -12.379    104.52         8.251        16.504        24.058       1.483       4.180       5.613       1.688       5.599       5.859       2.918
   83    92.94800   33.71133        11.001        -6.573        -4.738        13.384        -7.122    109.93         6.262        10.253        15.161       2.909       3.134       5.299       2.825       5.203       6.211       2.808
   84    90.48000   32.91367        16.359       -11.843        -6.260        21.426       -11.326    113.16        10.099        16.376        24.235       1.967       1.246       1.228       1.437       1.293       2.247       0.779
   85    94.60333   32.75300        19.345       -16.020         4.371        29.541        -5.825    122.48        23.716        17.683        30.110       2.476       2.354       4.721       3.430       2.817       5.441       1.566
   86    93.79433   32.38667        13.283       -15.209         2.088        23.891        -8.521    124.90        15.370        16.206        25.365       3.131       1.853       3.820       3.870       2.270       4.947       1.987
   87    86.41500   29.58733        11.512        20.714         7.758        30.433       -11.163     47.59        19.270        20.798        32.416       3.238       5.884      10.337       9.822       5.592      10.569       5.996
   88    85.95100   29.80100        11.665        13.597        41.642        46.890         6.416     21.11        53.307        20.237        47.327       6.659       7.976      26.904      22.507      10.222      27.675      10.680
   89    87.62667   32.35867        15.209        -7.723       -11.131        17.306       -13.229    105.19         4.077        15.267        21.783       1.128       1.396       2.785       1.475       2.482       3.091       1.334
   90    87.45167   39.45567         6.262         3.891         4.982         9.565         1.679     49.67        11.244         3.943         9.711       1.424       1.013       0.736       1.397       0.739       1.653       0.752
   91    85.66467   40.54733         3.630         0.055        -1.478         3.630        -1.479     89.39         2.151         2.555         3.920       1.141       1.215       2.278       1.941       1.376       2.626       1.051
   92    82.65133   40.48933         4.224        -0.083        -9.158         4.225        -9.158     90.36        -4.933         6.692        10.086       0.926       0.429       0.376       0.833       0.491       0.946       0.494
   93    82.69067   39.25567        11.266         7.702        10.049        18.384         2.931     47.26        21.315         7.726        18.616       4.900       3.289       4.024       6.350       1.760       6.414       3.380
